LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,LW_BW,UP_FREQUENCY_START,UP_FREQUENCY_END,UP_BW,USAGE,LICENCE_CATEGORY_NAME
10498938,Perth,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10498938,Cairns,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10498938,Canberra,3547.0,3575.0,28.0,,,,,3.4 GHz Band
10498938,Toowoomba,3547.0,3575.0,28.0,,,,,3.4 GHz Band
10498938,Rockhampton,3547.0,3575.0,28.0,,,,,3.4 GHz Band
10498938,Ballarat-Bendigo,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10498938,Wodonga,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10498938,Townsville,3542.5,3575.0,32.5,,,,,3.4 GHz Band
10498938,Adelaide,3547.0,3575.0,28.0,,,,,3.4 GHz Band
10914942,Perth - lower/upper,3575.0,3605.0,30.0,,,,,3.4 GHz Band
10914942,Sydney,3575.0,3635.0,60.0,,,,,3.4 GHz Band
10914942,Melbourne,3575.0,3635.0,60.0,,,,,3.4 GHz Band
10914942,Adelaide,3575.0,3610.0,35.0,,,,,3.4 GHz Band
10914942,Canberra,3575.0,3605.0,30.0,,,,,3.4 GHz Band
10914942,Regional Southern/Western NSW,3575.0,3640.0,65.0,,,,,3.4 GHz Band
10914942,Brisbane,3575.0,3605.0,30.0,,,,,3.4 GHz Band
10914942,Regional Western Australia,3575.0,3655.0,80.0,,,,,3.4 GHz Band
10914942,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3575.0,3625.0,50.0,,,,,3.4 GHz Band
10914942,Merge: Regional Victoria + Tasmania,3575.0,3625.0,50.0,,,,,3.4 GHz Band
10914942,Regional South Australia,3575.0,3650.0,75.0,,,,,3.4 GHz Band
10917462,Merge: Regional Southern/Western NSW + Regional South Australia,3670.0,3700.0,30.0,,,,,3.4 GHz Band
10917462,Merge: Regional Victoria + Tasmania,3665.0,3700.0,35.0,,,,,3.4 GHz Band
10917462,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3665.0,3700.0,35.0,,,,,3.4 GHz Band
10917463,Perth - lower/upper,3605.0,3640.0,35.0,,,,,3.4 GHz Band
10917463,Sydney,3635.0,3640.0,5.0,,,,,3.4 GHz Band
10917463,Melbourne,3695.0,3700.0,5.0,,,,,3.4 GHz Band
10917463,Brisbane,3665.0,3700.0,35.0,,,,,3.4 GHz Band
10917463,Adelaide,3670.0,3700.0,30.0,,,,,3.4 GHz Band
10917463,Canberra,3605.0,3640.0,35.0,,,,,3.4 GHz Band
10917464,Brisbane,3605.0,3665.0,60.0,,,,,3.4 GHz Band
10917464,Canberra,3640.0,3700.0,60.0,,,,,3.4 GHz Band
10917464,Melbourne,3635.0,3695.0,60.0,,,,,3.4 GHz Band
10917464,Sydney,3640.0,3700.0,60.0,,,,,3.4 GHz Band
10917464,Perth - lower/upper,3640.0,3700.0,60.0,,,,,3.4 GHz Band
10917464,Adelaide,3610.0,3670.0,60.0,,,,,3.4 GHz Band
10917464,Regional South Australia,3650.0,3670.0,20.0,,,,,3.4 GHz Band
10917464,Regional Western Australia,3655.0,3700.0,45.0,,,,,3.4 GHz Band
10917464,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3625.0,3665.0,40.0,,,,,3.4 GHz Band
10917464,Merge: Regional Victoria + Tasmania,3625.0,3665.0,40.0,,,,,3.4 GHz Band
10917464,Regional Southern/Western NSW,3640.0,3670.0,30.0,,,,,3.4 GHz Band
11286123,Merge: ma025 + ma026,3477.5,3542.5,65.0,,,,,3.4 GHz Band
11286123,Merge: ma019 + ma020,3475.0,3575.0,100.0,,,,,3.4 GHz Band
11286123,Merge: ma029 + Merge: ma027 + ma030,3475.0,3571.5,96.5,,,,,3.4 GHz Band
11286123,Merge: ma011 + ma018,3475.0,3540.0,65.0,,,,,3.4 GHz Band
11286123,Merge: ma005 + ma008,3475.0,3540.0,65.0,,,,,3.4 GHz Band
11286123,Merge: ma001 + ma002,3475.0,3543.5,68.5,,,,,3.4 GHz Band
11286123,ma043,3510.0,3575.0,65.0,,,,,3.4 GHz Band
11286123,ma042,3542.5,3575.0,32.5,,,,,3.4 GHz Band
11286123,ma042,3442.5,3475.0,32.5,,,,,3.4 GHz Band
11286123,ma036,3510.0,3575.0,65.0,,,,,3.4 GHz Band
11286123,ma035,3510.0,3575.0,65.0,,,,,3.4 GHz Band
11286123,ma034,3510.0,3575.0,65.0,,,,,3.4 GHz Band
11286124,Merge: ma001 + ma002,3543.5,3547.0,3.5,,,,,3.4 GHz Band
11286124,ma004,3539.0,3542.5,3.5,,,,,3.4 GHz Band
11286124,ma003,3539.0,3542.5,3.5,,,,,3.4 GHz Band
11286124,Merge: Merge: ma031 + Merge: ma027 + ma028 + Merge: ma033 + Merge: ma032 + Merge: ma029 + ma030,3571.5,3575.0,3.5,,,,,3.4 GHz Band
11286124,Merge: Merge: ma008 + ma009 + Merge: Merge: ma005 + ma006 + Merge: ma007 + ma010,3540.0,3542.5,2.5,,,,,3.4 GHz Band
11286125,Merge: Merge: ma016 + ma018 + Merge: Merge: ma013 + ma014 + Merge: ma017 + Merge: ma015 + Merge: ma011 + ma012,3540.0,3542.5,2.5,,,,,3.4 GHz Band
11286126,ma049,3485.5,3489.0,3.5,,,,,3.4 GHz Band
11286126,ma050,3490.0,3492.5,2.5,,,,,3.4 GHz Band
11286126,ma051,3540.0,3542.5,2.5,,,,,3.4 GHz Band
11286126,ma048,3485.5,3489.0,3.5,,,,,3.4 GHz Band
11286128,Merge: ma025 + ma026,3475.0,3477.5,2.5,,,,,3.4 GHz Band
11286128,ma052,3490.0,3492.5,2.5,,,,,3.4 GHz Band
11286128,ma049,3489.0,3492.5,3.5,,,,,3.4 GHz Band
11286128,ma048,3489.0,3492.5,3.5,,,,,3.4 GHz Band
11286128,ma047,3490.0,3492.5,2.5,,,,,3.4 GHz Band
11286128,ma045,3490.0,3492.5,2.5,,,,,3.4 GHz Band
11286128,ma046,3540.0,3542.5,2.5,,,,,3.4 GHz Band
11286129,ma038,3510.0,3575.0,65.0,,,,,3.4 GHz Band
11286129,ma037,3510.0,3575.0,65.0,,,,,3.4 GHz Band
11286129,ma040,3510.0,3575.0,65.0,,,,,3.4 GHz Band
11286129,ma045,3425.0,3490.0,65.0,,,,,3.4 GHz Band
11286129,ma046,3475.0,3540.0,65.0,,,,,3.4 GHz Band
11286129,ma047,3425.0,3490.0,65.0,,,,,3.4 GHz Band
11286129,ma048,3425.0,3485.5,60.5,,,,,3.4 GHz Band
11286129,ma049,3425.0,3485.5,60.5,,,,,3.4 GHz Band
11286129,ma050,3425.0,3490.0,65.0,,,,,3.4 GHz Band
11286129,ma052,3425.0,3490.0,65.0,,,,,3.4 GHz Band
11286129,Merge: ma017 + Merge: ma015 + Merge: ma013 + Merge: ma012 + ma014,3475.0,3540.0,65.0,,,,,3.4 GHz Band
11286129,Merge: ma028 + ma031,3475.0,3571.5,96.5,,,,,3.4 GHz Band
11286129,Merge: ma041 + ma053,3442.5,3475.0,32.5,,,,,3.4 GHz Band
11286129,Merge: ma041 + ma053,3542.5,3575.0,32.5,,,,,3.4 GHz Band
11286129,Merge: Merge: ma006 + ma009 + Merge: ma051 + Merge: ma007 + ma010,3475.0,3540.0,65.0,,,,,3.4 GHz Band
11286129,ma039,3510.0,3575.0,65.0,,,,,3.4 GHz Band
11286129,ma003,3475.0,3539.0,64.0,,,,,3.4 GHz Band
11286129,ma004,3475.0,3539.0,64.0,,,,,3.4 GHz Band
11286129,ma016,3475.0,3540.0,65.0,,,,,3.4 GHz Band
11286129,ma021,3475.0,3575.0,100.0,,,,,3.4 GHz Band
11286129,ma033,3475.0,3571.5,96.5,,,,,3.4 GHz Band
11286129,ma032,3475.0,3571.5,96.5,,,,,3.4 GHz Band
11286129,ma024,3475.0,3575.0,100.0,,,,,3.4 GHz Band
11286129,ma023,3475.0,3575.0,100.0,,,,,3.4 GHz Band
11286129,ma022,3475.0,3575.0,100.0,,,,,3.4 GHz Band
11286131,Merge: Merge: ma036 + Merge: ma023 + ma039 + Merge: Merge: ma022 + ma046 + Merge: ma024 + Merge: ma020 + ma021,3400.0,3475.0,75.0,,,,,3.4 GHz Band
11286131,Merge: Merge: ma034 + Merge: ma016 + ma018 + Merge: Merge: ma033 + Merge: ma030 + ma031 + Merge: ma035 + Merge: ma032 + Merge: ma017 + Merge: ma015 + Merge: ma014 + ma040,3400.0,3475.0,75.0,,,,,3.4 GHz Band
11286131,Merge: Merge: ma010 + ma038 + Merge: ma051 + Merge: ma008 + ma009,3400.0,3475.0,75.0,,,,,3.4 GHz Band
11286131,Merge: Merge: ma002 + ma003 + Merge: ma004 + ma037,3400.0,3475.0,75.0,,,,,3.4 GHz Band
11286131,Merge: ma044 + Merge: ma026 + ma043,3400.0,3475.0,75.0,,,,,3.4 GHz Band
11345733,Area 1,2500.0,2510.0,10.0,2620.0,2630.0,10.0,20.0,2.5 GHz Band
11345734,Area 1,2500.0,2510.0,10.0,2620.0,2630.0,10.0,20.0,2.5 GHz Band
9263429,Sydney,825.0,835.0,10.0,870.0,880.0,10.0,20.0,800 MHz Band
9263429,Adelaide,825.0,835.0,10.0,870.0,880.0,10.0,20.0,800 MHz Band
9263429,Brisbane,825.0,835.0,10.0,870.0,880.0,10.0,20.0,800 MHz Band
9263429,Melbourne,825.0,835.0,10.0,870.0,880.0,10.0,20.0,800 MHz Band
9263429,Perth,825.0,835.0,10.0,870.0,880.0,10.0,20.0,800 MHz Band
9263429,Reg_Remote_Aus,825.0,830.0,5.0,870.0,875.0,5.0,10.0,800 MHz Band
9263433,Sydney,835.0,845.0,10.0,880.0,890.0,10.0,20.0,800 MHz Band
9263433,Reg_Remote_Aus,830.0,845.0,15.0,875.0,890.0,15.0,30.0,800 MHz Band
9263433,Perth,835.0,845.0,10.0,880.0,890.0,10.0,20.0,800 MHz Band
9263433,Melbourne,835.0,845.0,10.0,880.0,890.0,10.0,20.0,800 MHz Band
9263433,Brisbane,835.0,845.0,10.0,880.0,890.0,10.0,20.0,800 MHz Band
9263433,Adelaide,835.0,845.0,10.0,880.0,890.0,10.0,20.0,800 MHz Band
