,LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,UP_FREQUENCY_START,UP_FREQUENCY_END
340,11204111,MA3-52,27500.0,30000.0,,
341,11204111,MA3-53,27500.0,30000.0,,
342,11204111,MA3-54,27500.0,30000.0,,
343,11204111,MA3-55,27500.0,30000.0,,
344,11204111,MA3-56,27500.0,30000.0,,
345,11204111,MA3-57,27500.0,30000.0,,
346,11204111,MA3-58,27500.0,30000.0,,
347,11204111,MA3-59,27500.0,30000.0,,
348,11204111,MA3-60,27500.0,30000.0,,
349,11204111,MA3-61,27500.0,30000.0,,
350,11204111,MA3-62,27500.0,30000.0,,
351,11204111,MA3-63,27500.0,30000.0,,
352,11204111,MA3-64,27500.0,30000.0,,
353,11204111,MA2-53,27500.0,30000.0,,
354,11204111,MA2-54,27500.0,30000.0,,
355,11204111,MA2-55,27500.0,30000.0,,
356,11204111,MA59,27500.0,30000.0,,
357,11204111,MA60,27500.0,30000.0,,
358,11204111,MA61,27500.0,30000.0,,
359,11204111,MA62,27500.0,30000.0,,
360,11204111,MA63,27500.0,30000.0,,
361,11204111,MA64,27500.0,30000.0,,
362,11204111,MA65,27500.0,30000.0,,
363,11204111,MA66,27500.0,30000.0,,
364,11204111,MA67,27500.0,30000.0,,
365,11204111,MA68,27500.0,30000.0,,
366,11204111,MA69,27500.0,30000.0,,
367,11204111,MA70,27500.0,30000.0,,
368,11204111,MA71,27500.0,30000.0,,
369,11204111,MA72,27500.0,30000.0,,
370,11204111,MA73,27500.0,30000.0,,
371,11204111,MA74,27500.0,30000.0,,
372,11204111,MA75,27500.0,30000.0,,
373,11204111,MA76,27500.0,30000.0,,
374,11204111,MA77,27500.0,30000.0,,
375,11204111,MA78,27500.0,30000.0,,
376,11204111,MA79,27500.0,30000.0,,
377,11204111,MA80,27500.0,30000.0,,
378,11204111,MA81,27500.0,30000.0,,
379,11204111,MA82,27500.0,30000.0,,
380,11204111,MA83,27500.0,30000.0,,
381,11204111,MA84,27500.0,30000.0,,
382,11204111,MA85,27500.0,30000.0,,
383,11204111,MA86,27500.0,30000.0,,
384,11204111,MA87,27500.0,30000.0,,
385,11204111,MA88,27500.0,30000.0,,
386,11204111,MA89,27500.0,30000.0,,
387,11204111,MA90,27500.0,30000.0,,
388,11204111,MA91,27500.0,30000.0,,
389,11204111,MA92,27500.0,30000.0,,
390,11204111,MA93,27500.0,30000.0,,
391,11204111,MA2-1,27500.0,30000.0,,
392,11204111,MA2-2,27500.0,30000.0,,
